year,month,day,hour,minute,availability
2015,11,12,07,09,29
2015,11,12,07,39,27
2015,11,12,08,09,21
2015,11,12,08,39,18
2015,11,12,09,09,14
2015,11,12,09,39,3
2015,11,12,10,09,5
2015,11,12,10,39,6
2015,11,12,11,09,4
2015,11,12,11,39,5
2015,11,12,12,09,4
2015,11,12,12,39,5
2015,11,12,13,09,9
2015,11,12,13,39,10
2015,11,12,14,09,13
2015,11,12,14,39,9
2015,11,12,15,09,8
2015,11,12,15,39,7
2015,11,12,16,09,12
2015,11,12,16,39,14
2015,11,12,17,09,18
2015,11,22,07,10,29
2015,11,22,07,40,27
2015,11,22,08,10,27
2015,11,22,08,40,22
2015,11,22,09,10,28
2015,11,22,09,40,28
2015,11,22,10,10,28
2015,11,22,10,40,30
2015,11,22,11,10,26
2015,11,22,11,40,27
2015,11,22,12,10,30
2015,11,22,12,40,31
2015,11,22,13,10,30
2015,11,22,13,40,31
2015,11,22,14,10,28
2015,11,22,14,40,29
2015,11,22,15,10,24
2015,11,22,15,40,26
2015,11,22,16,10,30
2015,11,22,16,40,31
2015,11,27,07,10,27
2015,11,27,07,40,29
2015,11,27,08,10,25
2015,11,27,08,40,27
2015,11,27,09,10,16
2015,11,27,09,40,4
2015,11,27,10,10,3
2015,11,27,10,40,3
2015,11,27,11,10,5
2015,11,27,11,40,5
2015,11,27,12,10,4
2015,11,27,12,40,5
2015,11,27,13,10,8
2015,11,27,13,40,8
2015,11,27,14,10,10
2015,11,27,14,40,8
2015,11,27,15,10,7
2015,11,27,15,40,8
2015,11,27,16,10,10
2015,11,27,16,40,14
2015,12,10,07,41,27
2015,12,10,08,11,27
2015,12,10,08,41,17
2015,12,10,09,11,17
2015,12,10,09,41,4
2015,12,10,10,11,2
2015,12,10,10,41,5
2015,12,10,11,11,1
2015,12,10,11,41,2
2015,12,10,12,11,2
2015,12,10,12,41,2
2015,12,10,13,11,7
2015,12,10,13,41,10
2015,12,10,14,11,9
2015,12,10,14,41,11
2015,12,10,15,12,10
2015,12,10,15,41,7
2015,12,10,16,11,11
2015,12,10,16,41,10
2015,12,17,07,48,26
2015,12,17,08,18,26
2015,12,17,08,48,19
2015,12,17,09,18,20
2015,12,17,09,48,10
2015,12,17,10,18,4
2015,12,17,10,48,2
2015,12,17,11,18,2
2015,12,17,11,48,1
2015,12,17,12,18,1
2015,12,17,12,48,4
2015,12,17,13,18,7
2015,12,17,13,48,12
2015,12,17,14,18,12
2015,12,17,14,48,6
2015,12,17,15,18,8
2015,12,17,15,48,11
2015,12,17,16,18,12
2015,12,17,16,48,13
